School,GPA,GRE,Program Type,Application Location,Date,Round,Post-MBA Career,Note
Berkeley / Haas,3.8,331.0,Traditional Two-Year,Texas,2023-12-05,Round 1,Consulting,Enlisted Military
Berkeley / Haas,3.67,331.0,Traditional Two-Year,,2022-05-11,Round 3,,
Berkeley / Haas,3.6,331.0,Traditional Two-Year,Washington DC,2023-03-23,Round 2,Consulting,Got the call 6:15pm today. Very last minute but good news never too late. I guess they are still calling out. Don's lose hope and good luck for you all!
MIT Sloan,3.7,331.0,Traditional Two-Year,NYC,2023-04-03,Round 2,,
Columbia,3.79,330.0,Traditional Two-Year,NYC,2023-03-09,Rolling Admissions,Technology,"Applied through Consortium (R2) - interviewed 2/6, feedback submitted the same day. Got an email just now saying there was a status update on my portal. No mention of Consortium Fellowship or other funding."
Harvard Business School,4.0,330.0,,,2020-07-29,Early Decision,,
Columbia,3.6,330.0,Traditional Two-Year,Canada,2021-10-22,Early Decision,,
Yale SOM,3.54,330.0,,Connecticut USA,2021-05-18,Round 3,Non Profit / Social Impact,"Interview invite 4/23, interview 4/27, acceptance this morning 5/18 around 10:45am! Absolutely over the moon. My dream school!"
Stanford GSB,3.47,330.0,Traditional Two-Year,Florida,2022-12-16,Round 1,Non Profit / Social Impact,Service Academy Veteran
MIT Sloan,4.0,330.0,,,2020-07-16,Round 3,,
Berkeley / Haas,3.6,330.0,,New York,2020-05-14,Round 2,Entrepreneurship,
Columbia,3.63,330.0,,,2020-09-23,Early Decision,Healthcare,"Submit App 8/11, Invite 9/11, Interview 9/22, accepted 9/23"
Harvard Business School,3.35,330.0,Deferred Enrollment,Midwest,2021-07-07,Early Decision,Non Profit / Social Impact,"LFG! Midwest MBB, non-target undergrad, non-profit goals."
Columbia,3.5,330.0,Traditional Two-Year,,2023-02-17,Rolling Admissions,Other,"Interview 2/3, feedback 2/6"
Columbia,3.4,330.0,Traditional Two-Year,San Francisco,2021-12-03,Round 1,Healthcare,"ED: Submitted 10/6, Recommendation completed 10/7, Invited to interview 11/3, Interviewed 11/23, Feedback submitted 11/24, Decision 12/3"
MIT Sloan,3.5,330.0,,Los Angeles,2017-12-19,Round 1,Healthcare,Background: URM. LA based. Did IB for a couple yrs now in corporate strategy
Harvard Business School,3.8,330.0,Traditional Two-Year,US | Abroad,2022-12-08,Round 1,Non Profit / Social Impact,reminding myself that it's not a dream
Yale SOM,3.67,330.0,,New York,2021-03-26,Round 2,Technology,
Columbia,3.3,330.0,Traditional Two-Year,India,2021-11-01,Early Decision,Consulting,Application submitted: 5th September; Interview Invite: 6th October; Interview: 12th October; Feedback: 17th October; Acceptance: 1st November
MIT Sloan,3.34,330.0,Traditional Two-Year,Boston,2024-04-03,Round 2,Technology,
MIT Sloan,3.7,330.0,,,2020-04-23,Round 2,,
Stanford GSB,3.6,330.0,Traditional Two-Year,Africa,2023-03-28,Round 2,Consulting,
Berkeley / Haas,3.84,330.0,,SF,2019-12-11,Round 1,,
Stanford GSB,3.6,330.0,,Kenya,2021-03-31,Round 2,,
Yale SOM,3.74,330.0,,USA,2021-03-31,Round 2,Technology,"So pumped to get the call! I honestly thought it was a prank. Almost started bawling, the admissions officer was so nice and helped keep me together. Yale SOM has been my dream for so, so long. Can't wait to meet you all :)"
Harvard Business School,3.9,330.0,Traditional Two-Year,,2022-03-30,Round 2,,
Berkeley / Haas,3.72,330.0,Traditional Two-Year,Asia,2023-04-13,Round 2,Consulting,
MIT Sloan,3.8,330.0,,NYC,2019-04-02,Round 2,Technology,Accepted with the Dean's Fellowship. Call at 11:28AM Est
Stanford GSB,3.74,330.0,,USA,2021-03-31,Round 2,Technology,Submitted: 01.06
MIT Sloan,3.4,330.0,,Boston,2019-04-02,Round 2,Healthcare,
Harvard Business School,3.6,330.0,,Kenya,2021-03-30,Round 2,,Still shaking. Cannot believe it!
Stanford GSB,3.5,330.0,,Bay Area,2019-03-26,Round 2,,
Stanford GSB,4.0,330.0,Traditional Two-Year,Hawaii,2023-03-28,Round 2,Non Profit / Social Impact,
Berkeley / Haas,3.7,330.0,Traditional Two-Year,,2023-12-06,Round 1,,
Oxford / Saïd,3.7,330.0,,USA,2019-10-20,Round 1,Finance,
Columbia,3.39,330.0,Traditional Two-Year,,2022-10-11,Early Decision,,Submitted 7/19; Interview invite 8/6; Interview 8/12; Feedback submitted 8/14; Accepted 8/26
Berkeley / Haas,3.77,330.0,Traditional Two-Year,New York City,2023-12-06,Round 1,Technology,Applied via Consortium. Received fellowship.
Berkeley / Haas,3.7,330.0,Traditional Two-Year,,2023-12-06,Round 1,,Recieved call at 4pm ET
Yale SOM,3.8,330.0,Traditional Two-Year,New York,2023-03-24,Round 2,Healthcare,$60K scholarship! So excited!!
Yale SOM,3.77,330.0,Traditional Two-Year,Vietnam,2023-03-24,Round 2,Marketing,
Harvard Business School,3.73,330.0,Traditional Two-Year,New York,2023-12-06,Round 1,Entrepreneurship,
Berkeley / Haas,2.99,330.0,,Malaysia,2021-03-23,Round 2,Non Profit / Social Impact,Got the email to schedule a Zoom call yesterday (9am Malaysia Time 23/3)! So excited I cannot even.
Stanford GSB,3.4,330.0,Traditional Two-Year,Davis,2022-03-10,Round 2,Finance,"This is the best day of my life! After getting rejected from Harvard, I thought I would never get anywhere in life."
Columbia,3.8,330.0,Traditional Two-Year,New York,2023-03-09,Rolling Admissions,Healthcare,"THRILLED! Timeline - Applied late Oct, interviewed in Dec, waitlisted early Jan."
Yale SOM,3.2,330.0,Traditional Two-Year,USA,2023-12-05,Round 1,Consulting,
Stanford GSB,3.7,330.0,Traditional Two-Year,East Coast,2024-03-26,Round 2,,Screaming. crying. throwing up. didn't think I'd make it :) keep the hope alive folks!
MIT Sloan,3.76,330.0,Traditional Two-Year,New York,2021-12-15,Round 1,Consulting,
Yale SOM,3.2,330.0,,"GA, USA",2018-12-05,Round 1,Technology,Call came at 11:28 AM ET
Berkeley / Haas,3.87,330.0,,,2018-12-11,Round 1,General Management,
Columbia,3.64,330.0,,New York,2021-02-10,Rolling Admissions,Entrepreneurship,
Stanford GSB,3.7,330.0,Traditional Two-Year,Los Angeles,2023-12-05,Round 1,Other,
Berkeley / Haas,3.5,330.0,Traditional Two-Year,DC,2023-03-21,Round 2,Healthcare,
MIT Sloan,3.58,330.0,,,2020-02-28,Round 2,General Management,
Yale SOM,3.5,330.0,,NYC,2021-03-26,Round 2,Non Profit / Social Impact,
Berkeley / Haas,3.8,330.0,,NYC,2019-03-13,Round 2,Technology,Full Tuition Scholarship (Non Consortium)
Stanford GSB,3.7,330.0,Traditional Two-Year,Southeast US,2023-12-05,Round 1,,
Yale SOM,3.67,329.0,,NY,2020-12-08,Round 1,Technology,Just received text from Adcom at 11:58AM east coast time
Harvard Business School,3.89,329.0,,Texas,2021-03-30,Round 2,,
Columbia,3.54,329.0,,NYC,2021-01-11,Rolling Admissions,Consulting,"Applied 11/23, invited to interview on 12/28, interview on 1/6, feedback submitted on 1/7"
MIT Sloan,3.4,329.0,Traditional Two-Year,NYC,2022-12-14,Round 1,Finance,Got the call from my interviewer at 12:49pm ET! She said portal will update 3pm ET. No $$
Harvard Business School,3.29,329.0,Traditional Two-Year,US West Coast,2023-03-30,Round 2,Consulting,Navy Vet
Harvard Business School,3.65,329.0,Traditional Two-Year,,2023-03-29,Round 2,,I'm still in shock... oh my god...
Stanford GSB,3.86,329.0,Traditional Two-Year,"Boston, MA",2023-03-28,Round 2,,Call from adcom at 2:30pm ET. Was a 650 number. Good luck everyone!
Columbia,3.7,329.0,January Intake,NYC,2022-10-06,Rolling Admissions,Technology,"J-term applicant. Submitted 31 Aug, interview invite 21 Sep, interview 30 Sep, and accepted 6 Oct. Good luck to all waiting to hear back, and I hope to see you on campus!"
Yale SOM,3.7,329.0,Traditional Two-Year,East Coast (USA),2023-03-24,Round 2,Consulting,
MIT Sloan,3.9,329.0,Traditional Two-Year,Boston,2022-12-13,Round 1,Technology,Accepted LGO candidate for CS MS/MBA program. Good luck everyone!
Stanford GSB,3.7,329.0,,NY,2020-07-14,Round 2,Finance,R2 waitlist - beyond excited; just got the call!
Columbia,3.65,329.0,Traditional Two-Year,,2023-02-22,Rolling Admissions,,"Applied 1/11, interviewed 2/10, feedback submitted 2/10, accepted 2/22."
Berkeley / Haas,3.64,329.0,,Seattle,2019-12-11,Round 1,Healthcare,
Harvard Business School,3.86,329.0,Traditional Two-Year,New York,2023-12-07,Round 1,General Management,
Columbia,3.7,329.0,,New York,2019-05-17,Rolling Admissions,Other,"Waitlisted 3/11, submitted updates every few weeks and letter of continued interest. So excited"
Berkeley / Haas,3.35,329.0,Traditional Two-Year,New York,2024-03-20,Round 2,,
Columbia,3.5,329.0,Traditional Two-Year,,2024-03-20,Round 2,Healthcare,
Berkeley / Haas,3.4,329.0,Traditional Two-Year,New Yok,2024-03-21,Round 2,Finance,
Stanford GSB,3.85,329.0,Traditional Two-Year,Nicaragua,2024-03-26,Round 2,Entrepreneurship,
Harvard Business School,3.85,329.0,Traditional Two-Year,Central América,2024-03-28,Round 2,Entrepreneurship,
MIT Sloan,3.75,329.0,Traditional Two-Year,"Washington, DC",2024-05-10,Round 2,Technology,"I visited campus after being waitlisted, did a class visit, and networked with alumni. I did not submit any additional materials. Thrilled to be accepted!"
MIT Sloan,3.34,329.0,Traditional Two-Year,India,2023-04-04,Round 2,Consulting,
Harvard Business School,3.8,329.0,Traditional Two-Year,Seattle,2021-12-09,Round 1,Consulting,
Berkeley / Haas,3.74,329.0,Traditional Two-Year,NYC,2021-12-15,Round 1,Marketing,Over the moon right now. Got a full ride + more. Did not expect this at all and a great way to start my day.
Yale SOM,3.74,329.0,Traditional Two-Year,NYC,2021-12-03,Round 1,Marketing,Consortium candidate so I have until April 16th to make my decision!
Berkeley / Haas,3.71,329.0,,Latin America,2020-03-24,Round 2,Consulting,
Berkeley / Haas,3.74,329.0,,New York,2020-05-12,Round 2,Finance,
Yale SOM,3.8,329.0,Traditional Two-Year,DC,2021-12-03,Round 1,Non Profit / Social Impact,received a shipment notification email about a package from Yale before I got the call
Columbia,3.97,329.0,,,2020-05-21,Round 3,,
Yale SOM,3.6,329.0,Traditional Two-Year,New York,2023-05-18,Round 3,Consulting,
Columbia,3.72,329.0,Deferred Enrollment,Berkeley,2021-06-02,Round 3,Technology,Deferred Enrollment Program.
MIT Sloan,3.7,329.0,Traditional Two-Year,International,2022-05-19,Round 3,Technology,Over the moon now!!! Best news ever! Still in total disbelief
Berkeley / Haas,3.45,329.0,,,2020-07-01,Round 3,,got the call around 1:30 ET! surprised and humbled!
Columbia,4.0,329.0,Deferred Enrollment,,2022-05-07,Rolling Admissions,Healthcare,interviewed 5/2! super happy!
Columbia,3.88,328.0,Traditional Two-Year,New York,2024-03-20,Round 2,Other,
Columbia,3.88,328.0,,NY,2017-10-29,Early Decision,Non Profit / Social Impact,"submitted 9/30, interview invite 10/9, interview 10/21, feedback submitted 10/26, acceptance call 10/27"
Stanford GSB,3.9,328.0,Traditional Two-Year,West,2021-12-08,Round 1,Entrepreneurship,
Columbia,3.7,328.0,Traditional Two-Year,New York,2023-12-13,Round 1,Entrepreneurship,"Does anyone know when they are sending financial aid information? I have a merit scholarship from another school, but it's hard to make any decision without the financial considerations...."
Columbia,4.0,328.0,,New York / France,2021-02-22,Rolling Admissions,Other,Submitted Jan 5; interview invite Feb 1; interview Feb 9 - missed a phone call without voicemail and called back (I never bother) and it was CBS! So so happy! I have a top performing arts background in classical music and looking to pivot into consulting then music streaming platforms content/strategy
Columbia,3.7,328.0,,Hawaii,2021-02-15,Rolling Admissions,Consulting,Applied Dec 30th. Interview feedback submitted Feb 5th. Got the call today!
MIT Sloan,3.8,328.0,Traditional Two-Year,"Memphis, TN",2024-02-27,Round 1,Operations Management,LGO Class of 2026
Columbia,3.4,328.0,January Intake,USA,2024-07-19,Round 1,,
Berkeley / Haas,3.8,328.0,Traditional Two-Year,U.S.,2024-03-25,Round 2,Technology,MBA/MEng
Stanford GSB,3.4,328.0,Traditional Two-Year,"Brooklyn, NY",2024-03-26,Round 2,Entrepreneurship,Received the call at 4:01pm!!! I was sweating and shaking so bad
Yale SOM,3.6,328.0,Traditional Two-Year,USA,2022-12-06,Round 1,Consulting,
Columbia,3.5,328.0,Traditional Two-Year,Hong Kong,2022-05-29,Round 2,Finance,"Applied: 7 April, Interview Invite: 22 April, Interview: May 13, Interview Feedback Submitted: May 23, Email acceptance from admissions/ Portal Update: 25 May. Absolutely over the moon to be able to attend my dream school!"
Harvard Business School,3.4,328.0,Traditional Two-Year,San Francisco,2022-03-30,Round 2,Entrepreneurship,"29F URM (Puerto Rican), FAANG PM (supervised other PMs), want to innovate in privacy tech."
Oxford / Saïd,3.9,328.0,One Year Program,Chicago,2022-10-26,Round 1,Healthcare,Interviewed with them on 10.05
Yale SOM,3.9,328.0,Traditional Two-Year,NYC,2022-03-29,Round 2,,No call this round. Portal update around 1pm EST.
Berkeley / Haas,3.7,328.0,Traditional Two-Year,Michigan,2022-03-23,Round 1,General Management,accepted via phone call with scholarship $!!
Berkeley / Haas,3.4,328.0,Traditional Two-Year,San Francisco,2022-03-14,Round 2,Entrepreneurship,"Underrepresented minority, Facebook PM"
Columbia,3.01,328.0,,USA,2021-03-04,Round 2,,"Interviewed 2/16, feedback submitted on 2/18, for the call at 4:30pm today! Beyond excited!"
Stanford GSB,3.92,328.0,One Year Program,SF Bay Area,2022-12-08,Round 1,Entrepreneurship,I almost lost hope but got the phone call around 10am PST from Mike. Based in SF Bay Area here.
Yale SOM,3.5,328.0,,California,2021-03-26,Round 2,Non Profit / Social Impact,Received a call at 8:45am PST
MIT Sloan,3.64,328.0,Traditional Two-Year,United States,2022-12-14,Round 1,Entrepreneurship,"LGO applicant, accepted on 12/13 by phone call, portal hasn't yet updated as of 12/14 at 3:45 ET"
Berkeley / Haas,3.92,328.0,Traditional Two-Year,"Houston, TX",2021-12-14,Round 1,Marketing,
Yale SOM,3.66,328.0,Traditional Two-Year,,2021-12-13,Round 1,Healthcare,30K scholarship
Stanford GSB,3.4,328.0,Traditional Two-Year,Texas,2023-12-06,Round 1,Entrepreneurship,Reapplied after no interview last year
Columbia,3.8,328.0,,,2020-07-04,Round 4,,
Harvard Business School,3.9,328.0,,Utah,2018-03-21,Round 2,Technology,Waitlisted at Booth.
Columbia,3.54,328.0,,Asia,2018-11-07,Rolling Admissions,Non Profit / Social Impact,"Timeline: j-term, submitted 10/3, interview invitation 10/22, interviewed10/31, same day feedback. admitted via phone 2pm."
Stanford GSB,3.62,328.0,,San Francisco,2020-01-18,Round 1,Entrepreneurship,"Date of interview invite: Oct. 29, date of interview: Nov. 9"
MIT Sloan,3.48,328.0,,"Washington, DC",2020-12-14,Round 1,,LGO - received a call from Thomas Roemer and Eileen Jacob this morning. Still shocked and beyond excited!
Berkeley / Haas,3.8,328.0,Traditional Two-Year,LA,2023-03-22,Round 2,,
Berkeley / Haas,3.6,328.0,,Denver,2020-03-26,Round 2,Technology,
Berkeley / Haas,3.7,328.0,,,2020-03-26,Round 2,,
Cambridge / Judge,3.71,328.0,,,2018-03-12,Round 3,Technology,
Columbia,3.78,328.0,,California,2020-04-01,Rolling Admissions,Finance,
Berkeley / Haas,3.4,328.0,Traditional Two-Year,NYC,2023-03-23,Round 2,,"Got the call at 6:45 EST yesterday. Absolutely thrilled! Had a great and very personalized conversation with an admissions officer. Scholarship info is to come out later today. For the record, I got the invite to the mock class but did not attend. Admit weekend is 4/20-4/22. Happy to answer any other questions! Good luck to everyone still waiting!"
Harvard Business School,3.6,328.0,,,2020-12-15,Round 1,Finance,
Stanford GSB,3.7,328.0,,Vietnam,2019-03-26,Round 2,,Wahoo! Good luck to everyone still getting results.
Yale SOM,3.34,328.0,,Washington D.C.,2020-03-24,Round 2,Technology,Received the call at 1:30 pm
Yale SOM,3.55,328.0,,"Houston, TX",2017-12-06,Round 1,,SO PUMPEDDDD
Stanford GSB,3.8,327.0,,South America,2020-07-27,Round 2,Other,Had an email from Kristen because she had been unable to get a hold of me by phone. Later we got on the phone and she shared the good news. Tough decisions ahead.
Stanford GSB,3.7,327.0,,West Coast,2020-03-31,Round 2,Finance,Submitted this application and honestly tried to forget about it. I was so happy just to have the opportunity to interview but to actually get accepted is beyond my wildest expectations! Received call this evening at 8:30 PDT. WOW!!!!
MIT Sloan,3.75,327.0,Traditional Two-Year,Boston,2023-05-17,Round 1,Consulting,"WL R1 and R2, accepted R3 today! my advice for anyone on a waitlist is to let a school know if you will 100% attend if accepted and show interest - go to events, speak with alumni, and send thoughtful waitlist letters (describing these efforts) ~1X/month if the adcom is open to them!"
MIT Sloan,3.87,327.0,,NYC,2020-04-23,Round 1,Other,
Berkeley / Haas,3.0,327.0,,Japan,2019-06-12,Round 2,Other,
Columbia,3.75,327.0,,,2019-07-23,Early Decision,Entrepreneurship,deferred enrollment
Cambridge / Judge,3.3,327.0,,"Chicago, IL",2019-03-12,Round 3,Technology,
Cambridge / Judge,3.92,327.0,,China/USA,2018-03-07,Round 3,Entrepreneurship,Accepted with substantial scholarship/bursary.
Yale SOM,3.49,327.0,,,2020-07-28,Round 2,,
Yale SOM,3.88,327.0,,NYC,2020-05-19,Round 1,Other,
Columbia,3.9,327.0,Deferred Enrollment,,2021-06-01,Rolling Admissions,,
Yale SOM,3.5,327.0,,"Seattle, WA",2020-12-08,Round 1,Non Profit / Social Impact,In with $!!! Call at 12:04p PST. Pre-MBA: FAANG. So stoked :)
MIT Sloan,3.6,327.0,,DC,2018-04-03,Round 2,Entrepreneurship,In with $$!!!
Yale SOM,3.7,327.0,,"Washington, DC",2019-04-02,Round 2,Technology,
Yale SOM,3.75,327.0,,DC,2018-05-04,Round 1,Consulting,Over the moon :)
Oxford / Saïd,3.3,327.0,,US,2019-03-22,Round 3,Technology,
Yale SOM,3.6,327.0,,London,2019-04-02,Round 2,Technology,
Columbia,3.9,327.0,Traditional Two-Year,Chicago,2021-10-12,Early Decision,Consulting,"Application submitted 8/29, Interview invite 9/27, Interview 10/3 (feedback submitted same day), Accepted 10/12"
Stanford GSB,3.95,327.0,Traditional Two-Year,NYC,2024-03-26,Round 2,Technology,
Cambridge / Judge,3.4,327.0,One Year Program,UK,2021-11-01,Round 1,,
Columbia,3.6,327.0,,USA,2018-02-27,Rolling Admissions,Non Profit / Social Impact,
Berkeley / Haas,3.25,327.0,,Wisconsin,2018-12-12,Round 1,Non Profit / Social Impact,with $$ (veteran applicant)
Berkeley / Haas,3.3,327.0,,San Francisco,2020-03-24,Round 2,Entrepreneurship,"SO excited - best of luck to the rest of you waiting to hear. Received the call at 11a PST - last name starts with ""C""!"
MIT Sloan,3.5,327.0,,"Seattle, WA",2020-12-16,Round 1,Non Profit / Social Impact,"In with $, call at 1:55p EST!!! So ecstatic :)"
Columbia,3.86,327.0,,,2021-02-16,Rolling Admissions,,Applied 1/4. Interviewed 2/5 with feedback submitted same day.
Yale SOM,3.76,327.0,Traditional Two-Year,Houston,2023-12-05,Round 1,Healthcare,
Stanford GSB,4.0,327.0,Deferred Enrollment,California,2024-05-22,Round 3,,
Columbia,3.2,327.0,,NYC,2018-02-22,Rolling Admissions,,
Yale SOM,3.6,327.0,Traditional Two-Year,,2023-12-05,Round 1,,
MIT Sloan,3.3,327.0,Traditional Two-Year,Southeast Asia,2021-12-15,Round 1,Entrepreneurship,Admitted with a 40k fellowship! No call yet - saw the update on the portal and admission email. So happy!!!
Columbia,3.6,327.0,,California,2019-10-31,Early Decision,Healthcare,"Applied 9/23, Interview Invite 10/9, Interview 10/19, Interview feedback 10/22, Acceptance phonecall 10/31!!"
Columbia,3.7,327.0,,West Coast,2020-03-04,Rolling Admissions,Finance,SOOOOOO EXCITED!!!!! Does anyone have an idea when merit based scholarship are available after being admitted?
Columbia,3.75,327.0,Traditional Two-Year,Boston,2023-01-12,Rolling Admissions,Consulting,
Harvard Business School,3.8,327.0,,MA,2018-12-12,Round 1,,
Columbia,3.7,327.0,Traditional Two-Year,,2023-02-20,Round 2,Finance,date of application: 12/24
Yale SOM,3.5,327.0,Traditional Two-Year,,2022-03-27,Round 2,,"After getting waitlisted everywhere else, this is a welcome result! No scholarship but happy to have an admit over nothing. Are adcoms open to reevaluate scholarship decision?"
Harvard Business School,3.4,327.0,,MA,2020-12-10,Round 1,Entrepreneurship,
Berkeley / Haas,3.62,327.0,Traditional Two-Year,Texas,2021-12-14,Round 1,Technology,Phone call at 12:30 CST. Got scholarship $
Berkeley / Haas,3.5,326.0,,Honduras,2018-12-12,Round 1,Entrepreneurship,Got my call today at 11:15 PST. Stoked!!!!
Berkeley / Haas,3.51,326.0,Traditional Two-Year,Texas,2024-03-19,Round 2,Consulting,So thrilled! No word on scholarship but based on R1 data it didn’t seem to populate until the actual decision day.
Stanford GSB,3.6,326.0,Traditional Two-Year,Asia,2023-03-28,Round 2,,Received call around 9 AM GMT +8 this morning the 29th. Beyond thrilled!
Columbia,3.65,326.0,Traditional Two-Year,California,2022-01-28,Rolling Admissions,Technology,
Yale SOM,3.91,326.0,Traditional Two-Year,Chicago,2022-03-25,Round 2,Technology,No email alert. I just checked portal around noon central and saw it's already updated.
Berkeley / Haas,3.7,326.0,Traditional Two-Year,USA,2022-03-14,Round 2,,Applied via CGSM 1/2/22. Interviewed 2/1/22. Offered the Consortium Fellowship on 3/14. Beyond excited!!!!!
Berkeley / Haas,3.75,326.0,Traditional Two-Year,Hong Kong,2024-03-21,Round 2,Other,"Got an email on Monday with a request to zoom with adcom! Terrified me, but was so happy it was such a lovely call with phenomenal news. Received scholarship not via consortium with update on portal today! Stoked!"
MIT Sloan,3.7,326.0,Traditional Two-Year,,2022-02-25,Round 2,,I was a round 2 LGO applicant. Received a call this morning.
Yale SOM,3.6,326.0,Traditional Two-Year,North East Asia,2023-03-24,Round 2,Consulting,I was announed at 11:16PM EST via email. More than happy to receive this wonderful news!! I never thought I would be accepted form such a prestigious and wonderful school. I hope everyone gets good news!
Yale SOM,3.63,326.0,,San Francisco,2020-03-24,Round 2,,Got the call at 9:36am PT!
Yale SOM,3.35,326.0,Traditional Two-Year,Pakistan,2021-12-03,Round 1,Finance,So stoked!!!
Columbia,3.65,326.0,,NYC,2019-01-18,Rolling Admissions,Consulting,"Applied 11/27, notified to interview 1/4, interviewed on 1/9, feedback submitted on 1/16, received call on 1/18!"
Yale SOM,3.96,326.0,Traditional Two-Year,,2021-12-03,Round 1,Healthcare,
Berkeley / Haas,3.7,326.0,,Berkeley,2020-03-24,Round 2,Other,"Received the call at 12:30p today. They didn’t offer scholarship information when I asked, only that I’m eligible for awards still. I couldn’t tell if that was real or a nice way of saying “no”"
Yale SOM,3.73,326.0,Traditional Two-Year,,2021-12-03,Round 1,Healthcare,
Berkeley / Haas,3.5,326.0,Traditional Two-Year,Miami,2023-05-12,Round 2,Entrepreneurship,Absolutely thrilled.
Berkeley / Haas,3.8,326.0,Traditional Two-Year,Japan,2022-03-23,Round 2,Technology,
Harvard Business School,3.61,326.0,Traditional Two-Year,Bay Area,2021-12-09,Round 1,Technology,
Columbia,3.8,326.0,,US,2019-02-15,Rolling Admissions,Marketing,Great way to kick off the weekend!
Berkeley / Haas,3.6,326.0,,Tokyo,2020-03-24,Round 2,Entrepreneurship,I received a phone call from AdCom at 20:40 CST on Mar. 24th.
Berkeley / Haas,3.61,326.0,Traditional Two-Year,SF Bay Area,2022-05-11,Rolling Admissions,Technology,I was a round 1 waitlist candidate and received an e-mail in the morning that there was an update to my application and was asked to schedule a phone call. I received the exciting news that I was accepted to the MBA/MEng program!
Columbia,3.6,326.0,,India,2018-12-21,Rolling Admissions,Marketing,"Applied 10/20, Interview Invite 12/17, Interviewed 12/20, Got a phone call the next day at 12/21! Over the moon."
Yale SOM,3.46,326.0,Traditional Two-Year,"Accra, Ghana",2021-12-03,Round 1,,
Oxford / Saïd,3.75,326.0,,South East Asia,2019-03-22,Round 3,Consulting,Excited!!
Columbia,3.8,326.0,,,2020-11-17,Early Decision,,
Stanford GSB,3.99,326.0,Traditional Two-Year,US,2023-12-05,Round 1,Consulting,Over the moon! Still in shock. Received call at 3pm CST.
Columbia,3.3,326.0,Traditional Two-Year,New York,2024-05-31,Round 1,,"R1 FE, interviewed in early Feb, waitlist in early April. Thrilling ending to a very lengthy process, and my top choice. Thanks to this forum for the context and guidance."
Oxford / Saïd,3.63,326.0,,Philippines,2020-10-16,Round 1,Entrepreneurship,"Goodluck, everyone"
Cambridge / Judge,3.63,326.0,,Philippines,2020-10-30,Round 1,Entrepreneurship,Goodluck everyone.
Columbia,3.2,326.0,,Dobbs Ferry NY,2021-04-10,Round 1,Marketing,EMBA Saturday program
Columbia,3.2,326.0,,Dobbs Ferry NY,2021-04-10,Round 1,Marketing,EMBA Saturday program
Harvard Business School,3.26,326.0,Traditional Two-Year,,2023-12-06,Round 1,Entrepreneurship,
Yale SOM,3.69,326.0,,,2021-04-02,Round 1,Marketing,
Stanford GSB,3.77,326.0,Deferred Enrollment,NE USA,2024-05-25,Round 3,Non Profit / Social Impact,"Feeling very lucky!!! More on my profile: HYP undergrad, Pre-MBA Career: Hedge Fund, Female, URM"
Yale SOM,3.83,326.0,,CA,2020-12-08,Round 1,General Management,Pre-MBA: military
Harvard Business School,3.63,326.0,Traditional Two-Year,United States,2022-12-08,Round 1,Entrepreneurship,Admitted to MS/MBA: Engineering Sciences!!
Columbia,3.6,326.0,,New York,2019-10-30,Early Decision,Other,"Applied 9/2, Interview Invite 9/23, Interview and Feedback 9/27, Acceptence 10/7!"
Harvard Business School,3.99,326.0,Traditional Two-Year,US,2023-12-06,Round 1,Consulting,I keep checking the portal to make sure it’s real. Was waiting for Ashton Kutcher to pop out from somewhere to tell me I’m being punk’d.
Yale SOM,3.63,326.0,,New York,2021-03-26,Round 2,,
Berkeley / Haas,3.7,326.0,Traditional Two-Year,Los Angeles,2023-03-22,Round 2,Non Profit / Social Impact,Got call at 4 pm PT. Excited!
Yale SOM,3.4,326.0,Traditional Two-Year,"Austin, TX",2023-03-24,Round 2,Marketing,
Columbia,3.83,326.0,Traditional Two-Year,NYC,2022-10-14,Early Decision,Technology,Applied: 8/29; Interview Invite: 9/19; Interview: 9/28; Feedback Submitted: 9/28; Decision: 10/14
Berkeley / Haas,3.9,326.0,,MA,2020-12-17,Round 1,Technology,
Columbia,3.74,326.0,Traditional Two-Year,New York,2021-09-01,Early Decision,Finance,Applied: 7/30
Stanford GSB,3.57,326.0,Traditional Two-Year,East Coast,2023-12-05,Round 1,Operations Management,
Columbia,3.5,326.0,Traditional Two-Year,,2021-08-27,Early Decision,,"Submitted app: 7/18, Interviewed: 8/18, received phone call 8/27! Hope this helps"
Columbia,3.25,326.0,,Southeast Asia,2020-09-28,Rolling Admissions,Finance,"J-term class of 2022 here. Submitted my application on 2nd week of aug, received iview invite 11th Sep, iview 23rd Sep, admitted 28th Sep."
Yale SOM,3.6,326.0,,DC,2019-12-04,Round 1,Non Profit / Social Impact,
MIT Sloan,3.99,326.0,Traditional Two-Year,US,2023-12-12,Round 1,Consulting,Admitted with $$- Dean's Fellowship
Harvard Business School,3.75,326.0,,Canada,2021-05-24,Round 2,,OMG can't believe this! Got an acceptance call from HBS today and I'm off the waitlist!
Yale SOM,3.99,326.0,Traditional Two-Year,,2023-12-05,Round 1,Consulting,$$$$. Consortium fellowship.
Berkeley / Haas,3.7,326.0,Traditional Two-Year,South East Asia,2023-03-20,Round 2,,Got a call from adcom.
Yale SOM,4.0,325.0,,Boston,2020-03-24,Round 1,Non Profit / Social Impact,Emailed at 11:45!
MIT Sloan,3.9,325.0,,NYC / LATAM,2019-12-18,Round 1,Other,"Received my call around 3PM ET. Not from interviewer. Fellowship amount disclosed during call. Applied to one school, got in, SO HAPPY!"
Berkeley / Haas,3.1,325.0,,India,2019-12-11,Round 1,Technology,
